                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                                             FADED                                               Zhu
                                             FADED                                       Alan Walker
                                             FAINT                                       Linkin Park
                                           FAKE IT                                           Seether
                                     FAMILY AFFAIR                                     Mary J. Blige
                                             FANCY                                       Iggy Azalea
                                          FAR AWAY                                        Nickelback
                                          FAST CAR                                        Jonas Blue
                                          FAST CAR                                        Jonas Blue
                                    FEEL GOOD INC.                                          Gorillaz
                                     FEEL SO CLOSE                                     Calvin Harris
                                     FEEL THE LOVE                                        Rudimental
                                  FEEL THIS MOMENT                                           Pitbull
                                             FEELS                                     Calvin Harris
                                              FEFE                                           6ix9ine
                                      FERGALICIOUS                                            Fergie
                                            FETISH                                      Selena Gomez
                               FIGHT FOR THIS LOVE                                            Cheryl
                                           FIGHTER                                Christina Aguilera
                                        FILL ME IN                                       Craig David
                                        FILL ME IN                                       Craig David
                                        FINAL SONG                                                Mo
                                    FIND YOUR LOVE                                             Drake
                                        FINE CHINA                                       Chris Brown
                                           FINESSE                                        Bruno Mars
                                              FIRE                                          Kasabian
                                      FIRE BURNING                                     Sean Kingston
                                         FIREFLIES                                          Owl City
                                         FIRESTONE                                              Kygo
                                          FIREWORK                                        Katy Perry
                               FIT BUT YOU KNOW IT                                       The Streets
                                   FIVE MORE HOURS                                            Deorro
                                            FLAMES                                      David Guetta
                                   FLASHING LIGHTS                                        Kanye West
                                              FLEX                                   Rich Homie Quan
                                           FOOLISH                                           Ashanti
                                           FOR YOU                                        Liam Payne
                                           FOREVER                                       Chris Brown
                                           FOREVER                                             Drake
                                  FORGOT ABOUT DRE                                           Dr. Dre
                                     FREAK LIKE ME                                         Sugababes
                                     FREAKY FRIDAY                                         Lil Dicky
                                             FREEK                                       Petey Pablo
                                        FREESTYLER                                      Bomfunk Mc's
                                           FRIENDS                                     Justin Bieber
                                           FRIENDS                                        Marshmello
                              FROM PARIS TO BERLIN                                          Infernal
                                          FRONTIN'                                 Pharrell Williams
                                           FUCK IT                                             Eamon
                                         FULL MOON                                            Brandy
                                         GALVANIZE                             The Chemical Brothers
                                     GANGNAM STYLE                                               Psy
                                    GANGSTA LOVIN'                                               Eve
                                          GASOLINA                                      Daddy Yankee
                                              GDFR                                          Flo Rida
                                             GECKO                                    Oliver Heldens
                                            GERMAN                                                Eo
                                          GERONIMO                                          Sheppard
                                          GET BACK                                          Ludacris
                                          GET BUSY                                         Sean Paul
                                  GET IT ON TONITE                                    Montell Jordan
                                    GET IT POPPIN'                                           Fat Joe
                                     GET IT SHAWTY                                             Lloyd
                                           GET LOW                      Lil Jon & The East Side Boyz
                                         GET LUCKY                                         Daft Punk
                                         GET RIGHT                                    Jennifer Lopez
                             GET THE PARTY STARTED                                              P!nk
                                            GET UP                                             Ciara
                                            GET UP                                     Bingo Players
                                   GET UR FREAK ON                                     Missy Elliott
                                  GETTIN' OVER YOU                                      David Guetta
                                     GHETTO GOSPEL                                              2pac
                                             GHOST                                    Ella Henderson
                                        GHOST TOWN                                      Adam Lambert
                                             GIANT                                     Calvin Harris
                                        GIMME MORE                                    Britney Spears
                                        GIMME THAT                                       Chris Brown
                                   GIMME THE LIGHT                                         Sean Paul
                                              GIRL                                   Destiny's Child
                                        GIRLFRIEND                                            *nsync
                                        GIRLFRIEND                                     Avril Lavigne
                                        GIRLS LIKE                                      Tinie Tempah
                                    GIRLS LIKE YOU                                          Maroon 5
                                      GIVE IT 2 ME                                           Madonna
                                     GIVE IT TO ME                                         Timbaland
                                  GIVE IT UP TO ME                                         Sean Paul
                                GIVE ME EVERYTHING                                           Pitbull
                           GIVE YOUR HEART A BREAK                                       Demi Lovato
                                     GLAD YOU CAME                                        The Wanted
                                         GLAMOROUS                                            Fergie
                                          GLORIOUS                                        Macklemore
                                     GO LET IT OUT                                             Oasis
                                    GOD IS A WOMAN                                     Ariana Grande
                                        GOD'S PLAN                                             Drake
                                         GOING BAD                                         Meek Mill
                                              GOLD                                            Kiiara
                                       GOLD DIGGER                                        Kanye West
                                         GOLD DUST                                          Dj Fresh
                                      GOLDEN SKANS                                           Klaxons
                                              GONE                                            *nsync
                                         GONE GIRL                                         Iann Dior
                                      GOOD FEELING                                          Flo Rida
                                      GOOD FOR YOU                                      Selena Gomez
                                 GOOD GIRLS GO BAD                                    Cobra Starship
                                        GOOD GRIEF                                          Bastille
                                         GOOD LIFE                                        Kanye West
                                         GOOD LIFE                                       Onerepublic
                                         GOOD LIFE                                                 G
                                         GOOD LUCK                                     Basement Jaxx
                                         GOOD TIME                                          Owl City
                                  GOODBYE MY LOVER                                       James Blunt
                                          GOODBYES                                       Post Malone
                                           GOODIES                                             Ciara
                                        GOOSEBUMPS                                      Travis Scott
                                      GOSSIP FOLKS                                     Missy Elliott
                                         GOT MONEY                                         Lil Wayne
                                 GOTTA BE SOMEBODY                                        Nickelback
                               GOTTA GET THRU THIS                                Daniel Bedingfield
                               GOTTA GET THRU THIS                                Daniel Bedingfield
                                    GOTTA TELL YOU                                    Samantha Mumba
                                       GRACE KELLY                                              Mika
                                       GREEN LIGHT                                       John Legend
                                           GRENADE                                        Bruno Mars
                                            GRILLZ                                             Nelly
                                     GRIND WITH ME                                      Pretty Ricky
                                        GUCCI GANG                                          Lil Pump
                                             GUMMO                                           6ix9ine
                                            HABITS                                           Tove Lo
                                         HALFCRAZY                                   Musiq Soulchild
                                      HALL OF FAME                                        The Script
                                        HALLELUJAH                                   Alexandra Burke
                                              HALO                                           Beyonce
                                          HANDCLAP                             Fitz And The Tantrums
                                       HANDS CLEAN                                 Alanis Morissette
                                HANDS ON THE WHEEL                                       Schoolboy Q
                               HANGING BY A MOMENT                                         Lifehouse
                                           HAPPIER                                        Marshmello
                                             HAPPY                                           Ashanti
                                             HAPPY                                 Pharrell Williams
                                              HARD                                           Rihanna
                                      HARLEM SHAKE                                            Baauer
                                HATE IT OR LOVE IT                                          The Game
                                            HAVANA                                    Camila Cabello
                                     HAVE YOU EVER                                          S Club 7
                                   HE CAN'T LOVE U                                       Jagged Edge
                              HE WASN'T MAN ENOUGH                                      Toni Braxton
                                         HEADLINES                                             Drake
                                        HEADSPRUNG                                         Ll Cool J
                                        HEADSTRONG                                             Trapt
                                       HEAR ME NOW                                              Alok
                               HEARD IT ALL BEFORE                                 Sunshine Anderson
                                      HEART ATTACK                                       Demi Lovato
                                HEART SKIPS A BEAT                                         Olly Murs
                                      HEARTBREAKER                                         Will.i.am
                                       HEARTBROKEN                                                T2
                                         HEARTLESS                                        Kanye West
                                          HEATHENS                                 Twenty One Pilots
                                            HEAVEN                                          Dj Sammy
                              HEAVEN IS A HALFPIPE                                               Opm
                                        HELLA GOOD                                          No Doubt
                                             HELLO                                             Adele
                                        HEMORRHAGE                                              Fuel
                                              HERE                                      Alessia Cara
                                              HERE                                      Alessia Cara
                                      HERE IS GONE                                 The Goo Goo Dolls
                                  HERE WITHOUT YOU                                      3 Doors Down
                        HERE'S TO NEVER GROWING UP                                     Avril Lavigne
                                              HERO                                      Chad Kroeger
                                            HEROES                                            Alesso
                                          HEY BABY                                           Dj Atzi
                                          HEY BABY                                          No Doubt
                                          HEY BABY                                           Pitbull
                                       HEY BROTHER                                            Avicii
                                         HEY DADDY                                             Usher
                                          HEY MAMA                                   Black Eyed Peas
                                          HEY MAMA                                      David Guetta
                                       HEY PORSCHE                                             Nelly
                                 HEY THERE DELILAH                                   Plain White T's
                                           HEY YA!                                           Outkast
                                          HIDEAWAY                                            Kiesza
                                              HIGH                                        Peking Duk
                                 HIGH BY THE BEACH                                      Lana Del Rey
                                        HIGH HOPES                               Panic! At The Disco
                                            HIGHER                                             Creed
                                            HIGHER                                     The Saturdays
                                            HIGHER                                         Taio Cruz
                                           HIM & I                                                 G
                                           HIM & I                                                 G
                                    HIPS DON'T LIE                                           Shakira
                                  HIT 'EM UP STYLE                                      Blu Cantrell
                                           HOLD ON                                  Chord Overstreet
                        HOLD ON - WE'RE GOING HOME                                             Drake
                                  HOLE IN THE HEAD                                         Sugababes
                                        HOLIDAE IN                                            Chingy
                                           HOLIDAY                                     Dizzee Rascal
                                    HOLLABACK GIRL                                      Gwen Stefani
                                        HOLY GRAIL                                               Jay
                                              HOME                                 Machine Gun Kelly
                                        HOMECOMING                                        Kanye West
                                 HOMEMADE DYNAMITE                                             Lorde
                                         HONEY BEE                                     Blake Shelton
                                               HOT                                              Inna
                                          HOT BOYZ                                     Missy Elliott
                                   HOT GIRL SUMMER                               Megan Thee Stallion
                                      HOT IN HERRE                                             Nelly
                                        HOT N COLD                                        Katy Perry
                                         HOT N*GGA                                     Bobby Shmurda
                                     HOT RIGHT NOW                                          Dj Fresh
                                HOTEL ROOM SERVICE                                           Pitbull
                                     HOTLINE BLING                                             Drake
                                     HOTLINE BLING                                             Drake
                                  HOTTER THAN HELL                                          Dua Lipa
                                          HOW COME                                               D12
                             HOW DEEP IS YOUR LOVE                                     Calvin Harris
                                 HOW DO YOU SLEEP?                                         Sam Smith
                                          HOW LONG                                      Charlie Puth
                                           HOW LOW                                          Ludacris
                          HOW TO BE A HEARTBREAKER                                            Marina
                                       HOW TO LOVE                                         Lil Wayne
                                HOW TO SAVE A LIFE                                          The Fray
                                         HOW WE DO                                          The Game
                                         HOW WE DO                                          Rita Ora
                       HOW YOU GONNA ACT LIKE THAT                                            Tyrese
                                 HOW YOU REMIND ME                                        Nickelback
                                             HUMAN                                   Christina Perri
                                             HUMAN                                    Rag'n'bone Man
                                           HUMBLE.                                    Kendrick Lamar
                                           HUNG UP                                           Madonna
                                     HURTS SO GOOD                                          Astrid S
                              HYMN FOR THE WEEKEND                                          Coldplay
                                        HYPNOTIZED                                             Plies
                                  I BELIEVE IN YOU                                     Kylie Minogue
             I BET YOU LOOK GOOD ON THE DANCEFLOOR                                    Arctic Monkeys
                                             I CAN                                               Nas
                                I COULD BE THE ONE                                            Avicii
                                             I CRY                                          Flo Rida
                         I DON'T FEEL LIKE DANCIN'                                   Scissor Sisters
                             I DON'T FUCK WITH YOU                                          Big Sean
                       I DON'T LIKE IT - I LOVE IT                                          Flo Rida
                                I DON'T WANNA KNOW                                      Mario Winans
                         I DONT WANNA LIVE FOREVER                                              Zayn
                                  I FEEL IT COMING                                        The Weeknd
                                   I FOLLOW RIVERS                                          Lykke Li
                                           I GOT U                                       Duke Dumont
                                   I GOTTA FEELING                                   Black Eyed Peas
                       I HATE EVERYTHING ABOUT YOU                                  Three Days Grace
                                  I HATE THIS PART                                The Pussycat Dolls
                                  I HATE THIS PART                                The Pussycat Dolls
                               I HATE U - I LOVE U                                      Garrett Nash
                               I JUST WANNA LOVE U                                               Jay
                                   I KISSED A GIRL                                        Katy Perry
                          I KNEW YOU WERE TROUBLE.                                      Taylor Swift
                          I KNEW YOU WERE TROUBLE.                                      Taylor Swift
                   I KNOW WHAT YOU DID LAST SUMMER                                      Shawn Mendes
                              I KNOW WHAT YOU WANT                                      Busta Rhymes
                              I KNOW WHAT YOU WANT                                      Busta Rhymes
                                I KNOW YOU WANT ME                                           Pitbull
                                         I LIKE IT                                            Sammie
                                         I LIKE IT                                  Enrique Iglesias
                                         I LIKE IT                                           Cardi B
                                  I LIKE ME BETTER                                              Lauv
                                       I LIKE THAT                                           Houston
                                    I LIKE THE WAY                                       Bodyrockers
                                    I LOVE COLLEGE                                        Asher Roth
                                         I LOVE IT                                         Icona Pop
                                         I LOVE IT                                         Icona Pop
                                        I LOVE YOU                                       Faith Evans
                                   I LUV YOUR GIRL                                               The
                                   I NEED A DOCTOR                                           Dr. Dre
                                   I NEED A DOLLAR                                        Aloe Blacc
                                     I NEED A GIRL                                             Diddy
                                     I NEED A GIRL                                             Diddy
                                        I NEED YOU                                       Leann Rimes
                                  I NEED YOUR LOVE                                     Calvin Harris
                                  I PREDICT A RIOT                                     Kaiser Chiefs
                                        I SEE FIRE                                        Ed Sheeran
                            I TOOK A PILL IN IBIZA                                       Mike Posner
                                           I TRIED                                        Bone Thugs
                                     I TURN TO YOU                                         Melanie C
                                     I TURN TO YOU                                Christina Aguilera
                                        I WANNA GO                                    Britney Spears
                                      I WANNA KNOW                                               Joe
                                  I WANNA LOVE YOU                                              Akon
                                I WANT YOU TO KNOW                                              Zedd
                         I WILL NEVER LET YOU DOWN                                          Rita Ora
                                            I WISH                                       Carl Thomas
                        I WISH I WAS A PUNK ROCKER                                        Sandi Thom
                                I WON'T LET YOU GO                                    James Morrison
                                      I WOULD LIKE                                      Zara Larsson
                        I WRITE SINS NOT TRAGEDIES                               Panic! At The Disco
                                   I'M A SLAVE 4 U                                    Britney Spears
                                        I'M A THUG                                       Trick Daddy
                              I'M GONNA BE ALRIGHT                                    Jennifer Lopez
                                    I'M IN CONTROL                                       Alunageorge
                                   I'M LIKE A BIRD                                     Nelly Furtado
                                         I'M N LUV                                                 T
                  I'M NOT A GIRL - NOT YET A WOMAN                                    Britney Spears
                                     I'M NOT ALONE                                     Calvin Harris
                                        I'M ON ONE                                         Dj Khaled
                                    I'M OUTTA LOVE                                         Anastacia
                                          I'M REAL                                    Jennifer Lopez
                                   I'M SO TIRED...                                              Lauv
                                        I'M SPRUNG                                                 T
                        I'M STILL IN LOVE WITH YOU                                         Sean Paul
                                         I'M UPSET                                             Drake
                                      I'M WITH YOU                                     Avril Lavigne
                                           ICE BOX                                           Omarion
                                             IDGAF                                          Dua Lipa
                                    IF I COULD GO!                                    Angie Martinez
                                    IF I DIE YOUNG                                    The Band Perry
                                    IF I DIE YOUNG                                    The Band Perry
                                   IF I WERE A BOY                                           Beyonce
                            IF THERE'S ANY JUSTICE                                             Lemar
                        IF TODAY WAS YOUR LAST DAY                                        Nickelback
                           IF TOMORROW NEVER COMES                                     Ronan Keating
                                     IF U SEEK AMY                                    Britney Spears
                             IF WE EVER MEET AGAIN                                         Timbaland
                                  IF YOU COME BACK                                              Blue
                             IF YOU'RE NOT THE ONE                                Daniel Bedingfield
                             IF YOU'RE NOT THE ONE                                Daniel Bedingfield
                                           IMMA BE                                   Black Eyed Peas
                                        IMPOSSIBLE                                         Shontelle
                                        IMPOSSIBLE                                      James Arthur
                                        IN DA CLUB                                           50 Cent
                                   IN FOR THE KILL                                           La Roux
                               IN LOVE WITH A GIRL                                      Gavin Degraw
                                    IN MY FEELINGS                                             Drake
                                        IN MY HEAD                                      Jason Derulo
                                        IN MY MIND                                            Dynoro
                                       IN MY PLACE                                          Coldplay
                                       IN THE DARK                                               Dev
                                        IN THE END                                       Linkin Park
                                        IN THE END                                       Linkin Park
                                    IN THE MORNING                                        Razorlight
                               IN THE NAME OF LOVE                                     Martin Garrix
                                      IN THE NIGHT                                        The Weeknd
                                    IN THE SHADOWS                                        The Rasmus
                                    IN THOSE JEANS                                          Ginuwine
                                      IN YOUR EYES                                     Kylie Minogue
                                        INCOMPLETE                                             Sisqo
                                        INCOMPLETE                                   Backstreet Boys
                         INDEPENDENT WOMEN - PT. 1                                   Destiny's Child
                         INDEPENDENT WOMEN - PT. 1                                   Destiny's Child
                                     INFINITY 2008                                 Guru Josh Project
                                INTERNATIONAL LOVE                                           Pitbull
                                    INTO THE NIGHT                                           Santana
                                          INTO YOU                                          Fabolous
                                          INTO YOU                                     Ariana Grande
                                       INTOXICATED                                    Martin Solveig
                                             INTRO                                            The Xx
                                     IRREPLACEABLE                                           Beyonce
                                      IRRESISTIBLE                                   Jessica Simpson
                                 IS IT ANY WONDER?                                             Keane
                                       IT AIN'T ME                                              Kygo
                                  IT FEELS SO GOOD                                           Sonique
                                           IT GIRL                                      Jason Derulo
                                      IT WASN'T ME                                            Shaggy
                                      IT WILL RAIN                                        Bruno Mars
                                       IT'S A VIBE                                          2 Chainz
                                  IT'S BEEN AWHILE                                            Staind
                                   IT'S GOIN' DOWN                                          Yung Joc
                                  IT'S GONNA BE ME                                            *nsync
                                    IT'S LIKE THAT                                      Mariah Carey
                                      IT'S MY LIFE                                          Bon Jovi
                                      IT'S MY LIFE                                          No Doubt
                                      IT'S MY LIFE                                          No Doubt
                                  IT'S NOT MY TIME                                      3 Doors Down
                                     IT'S NOT OVER                                          Daughtry
                                     IT'S OVER NOW                                               112
                                  IT'S RAINING MEN                                    Geri Halliwell
                     IT'S THE WAY YOU MAKE ME FEEL                                             Steps
                                              IZZO                                               Jay
                                       JACKIE CHAN                                            Tiesto
                                           JAI HO!                                       A.r. Rahman
                                     JAR OF HEARTS                                   Christina Perri
                                           JEALOUS                                        Nick Jonas
                              JENNY FROM THE BLOCK                                    Jennifer Lopez
                                       JESUS WALKS                                        Kanye West
                                    JOCELYN FLORES                                      Xxxtentacion
                                             JUBEL                                         Klingande
                                             JUICY                                          Doja Cat
                                 JUJU ON THAT BEAT                                    Zay Hilfigerrr
                                           JUMANJI                                           B Young
                                              JUMP                                       Girls Aloud
                                 JUMPIN' - JUMPIN'                                   Destiny's Child
                                           JUMPMAN                                             Drake
                                           JUMPMAN                                             Drake
                                      JUST A DREAM                                             Nelly
                                       JUST A KISS                                            Lady A
                                    JUST A LIL BIT                                           50 Cent
                                     JUST A LITTLE                                         Liberty X
                              JUST CANT GET ENOUGH                                   Black Eyed Peas
                                        JUST DANCE                                         Lady Gaga
                                         JUST FINE                                     Mary J. Blige
                                      JUST HOLD ON                                        Steve Aoki
                                    JUST LIKE FIRE                                              P!nk
                                      JUST LOSE IT                                            Eminem
                              JUST THE WAY YOU ARE                                        Bruno Mars
                                             KARMA                                       Alicia Keys
                                    KEISHA & BECKY                                     Russ Millions
                                        KICKSTARTS                                           Example
                                              KIDS                                              Mgmt
                             KILL EM WITH KINDNESS                                      Selena Gomez
                                    KILL THIS LOVE                                         Blackpink
                                              KING                                     Years & Years
                                       KING'S DEAD                                          Jay Rock
                                         KISS KISS                                     Holly Valance
                                         KISS KISS                                       Chris Brown
                                         KISS KISS                                       Chris Brown
                            KISS ME THRU THE PHONE                                        Soulja Boy
                                    KNOCK YOU DOWN                                       Keri Hilson
                                        KRYPTONITE                                      3 Doors Down
                                  L'AMOUR TOUJOURS                                   Gigi D'agostino
                                   LA CAMISA NEGRA                                            Juanes
                                          LA LA LA                                       Naughty Boy
                                        LA TORTURA                                           Shakira
                                    LADBROKE GROVE                                         Aj Tracey
                                              LADY                                             Modjo
                                    LADY MARMALADE                                Christina Aguilera
                                       LAFFY TAFFY                                               D4l
                                       LAFFY TAFFY                                               D4l
                                 LAST FRIDAY NIGHT                                        Katy Perry
                                        LAST NIGHT                                      Keyshia Cole
                                             LATCH                                        Disclosure
                                             LATCH                                        Disclosure
                                         LEAN BACK                                      Terror Squad
                                           LEAN ON                                       Major Lazer
                         LEAN WIT IT - ROCK WIT IT                                Dem Franchize Boyz
                                             LEAVE                                              Jojo
                                  LEAVE A LIGHT ON                                        Tom Walker
                                    LEAVE ME ALONE                                      Flipp Dinero
                                   LEAVE RIGHT NOW                                        Will Young
                                   LEAVE RIGHT NOW                                        Will Young
                                LEFT OUTSIDE ALONE                                         Anastacia
                                        LET HER GO                                         Passenger
                                     LET IT ALL GO                                             Birdy
                                         LET IT GO                                      Keyshia Cole
                                       LET IT ROCK                                      Kevin Rudolf
                               LET ME BLOW YA MIND                                               Eve
                                LET ME DOWN SLOWLY                                     Alec Benjamin
                                         LET ME GO                                      3 Doors Down
                                   LET ME HOLD YOU                                           Bow Wow
                                   LET ME LOVE YOU                                             Mario
                                   LET ME LOVE YOU                                                Ne
                                   LET ME LOVE YOU                                          Dj Snake
                             LET ME THINK ABOUT IT                                          Ida Corr
