                                              Reporte de Prueba de Spotify
========================================================================================================================
                                 Artista                    Total Reproducciones                                 Generos
                                    Zedd                                 1115827            hip hop/pop/Dance/Electronic
                        Armin van Buuren                                  993279                    pop/Dance/Electronic
                     Of Monsters and Men                                  929306                  pop/rock/Folk/Acoustic
                                 J. Cole                                  472400                                 hip hop
                        Childish Gambino                                 1393327                                 hip hop
                               Passenger                                  699066                                     pop
                           Ariana Grande                                  227026                                     pop
                    Florida Georgia Line                                  989772                                 country
                             Iggy Azalea                                  948290                             hip hop/pop
                               Sam Smith                                  403736                                     pop
                                  MAGIC!                                  224840                                     pop
                                     Sia                                  216120                                     pop
                                     ZHU                                  492946                        Dance/Electronic
                          Meghan Trainor                                  187920                                     pop
                                 Tove Lo                                  622103                    pop/Dance/Electronic
                          Oliver Heldens                                  165440                    pop/Dance/Electronic
                                DJ Snake                                  247266            hip hop/pop/Dance/Electronic
                                 Tinashe                                  765150        hip hop/pop/R&B/Dance/Electronic
                                Route 94                                  259934                    pop/Dance/Electronic
                            O.T. Genasis                                  867692                             hip hop/pop
                Lilly Wood and The Prick                                  382694                                pop/rock
                           Bobby Shmurda                                 1609880                             hip hop/pop
                             Nico & Vinz                                  686385                             hip hop/pop
                                 Becky G                                  206166                               pop/latin
                                   Sigma                                  189720                    pop/Dance/Electronic
                        The Chainsmokers                                  183750                    pop/Dance/Electronic
                                  Rixton                                  386791                                     pop
                               Klingande                                  201626                    pop/Dance/Electronic
                               Mr. Probz                                  208133                hip hop/Dance/Electronic
                            Paloma Faith                                  232893                pop/R&B/Dance/Electronic
                                  Kiesza                                  251986                    pop/Dance/Electronic
                                 Kid Ink                                  663851                             hip hop/pop
                              Peking Duk                                 1179891                        Dance/Electronic
                            Milky Chance                                  313684                                     pop
                              Ed Sheeran                                  219840                                     pop
                             Gorgon City                                 1418474                    pop/Dance/Electronic
                                    MKTO                                  406426                             hip hop/pop
                              Charli XCX                                  619417                    pop/Dance/Electronic
                                  Tiesto                                  492023                    pop/Dance/Electronic
                     5 Seconds of Summer                                  633322                                     pop
                                  G.R.L.                                 1523191                                     pop
                            Clean Bandit                                  495699                    pop/Dance/Electronic
                           Alex & Sierra                                  905239                                     pop
                               Echosmith                                  464206                                     pop
                         Natalie La Rose                                  189906                                     pop
                               Vance Joy                                  204280                                rock/pop
                          Ella Henderson                                  772186                    pop/Dance/Electronic
                                Sheppard                                  763293               pop/rock/Dance/Electronic
                              Nick Jonas                                 1087775                                     pop
                             Major Lazer                                 1162992            hip hop/pop/Dance/Electronic
                              The Weeknd                                  252226                                 pop/R&B
                                  Deorro                                 1833333                    pop/Dance/Electronic
                            Rae Sremmurd                                  832334                             hip hop/pop
                            Robin Schulz                                  609334                    pop/Dance/Electronic
                           Philip George                                  390200                    pop/Dance/Electronic
                               Rob $tone                                  637450                                 hip hop
                        Lost Frequencies                                  138842                    pop/Dance/Electronic
                       Twenty One Pilots                                  202333                                    rock
                           Fifth Harmony                                  224573                                     pop
                                   KALEO                                  219560                          rock/classical
                          Martin Solveig                                  492896                    pop/Dance/Electronic
                             Felix Jaehn                                  416759            hip hop/pop/Dance/Electronic
                                Galantis                                  912526                    pop/Dance/Electronic
                            Zara Larsson                                  421518                    pop/Dance/Electronic
                            Travis Scott                                  454813                hip hop/Dance/Electronic
                           Years & Years                                  215360                    pop/Dance/Electronic
                                Lemaitre                                  476334                                     pop
                                 Pia Mia                                  436826                                 pop/R&B
                                 Silento                                  377321                                 hip hop
                         The Strumbellas                                  428879                  rock/Folk/Acoustic/pop
                               Fetty Wap                                  222093                             hip hop/pop
                                SAYGRACE                                 2772641                                 pop/R&B
                           X Ambassadors                                  195200                        hip hop/rock/pop
                                 R. City                                  227480                                     pop
                                    Kygo                                  223186                    pop/Dance/Electronic
                             Tame Impala                                  216320                                   metal
                                  Hozier                                  676301                       Folk/Acoustic/pop
                            Alessia Cara                                  430453                                 pop/R&B
                               Meek Mill                                  696293                             hip hop/pop
                                Big Sean                                  284386                             hip hop/pop
                           Petit Biscuit                                  715311                        Dance/Electronic
                            Shawn Mendes                                  206880                                     pop
                                  Jack U                                  701916                    pop/Dance/Electronic
                           Bryson Tiller                                  411738                         hip hop/pop/R&B
                         Rich Homie Quan                                  176674                             hip hop/pop
                              Joel Adams                                  210580                                     R&B
                              Jonas Blue                                  451224                    pop/Dance/Electronic
                                   BARNS                                  218173                                rock/pop
                                  Sigala                                  229813                    pop/Dance/Electronic
                               Nicky Jam                                 1484996                                   latin
                               Desiigner                                 1425382                             hip hop/pop
                             Burak Yeter                                  241874                        Dance/Electronic
                                  WILLOW                                 1505479                pop/R&B/Dance/Electronic
                                Astrid S                                  907319               rock/pop/Dance/Electronic
                                  Future                                  752956                             hip hop/pop
                                    Alok                                  786345                    pop/Dance/Electronic
                             Jon Bellion                                  217603                             hip hop/pop
                             Cheat Codes                                  228361                    pop/Dance/Electronic
                                Dua Lipa                                  401463                                     pop
                             Alan Walker                                  407812                        Dance/Electronic
                             Kevin Gates                                 1063854                             hip hop/pop
                              Marshmello                                  691562                    pop/Dance/Electronic
                   Fitz and The Tantrums                                  865345                                pop/rock
                                    Anne                                  848235                    pop/Dance/Electronic
                            Charlie Puth                                  217706                                     pop
                             AlunaGeorge                                  209425                    pop/Dance/Electronic
                                    MNEK                                  413120                        Dance/Electronic
                              Mike Perry                                  183414                    pop/Dance/Electronic
                              Tory Lanez                                  937278                         hip hop/pop/R&B
                                   Kungs                                  459347                    pop/Dance/Electronic
                                    DNCE                                  615839                                     pop
                                99 Souls                                  216613                        Dance/Electronic
                                    Illy                                  255889            hip hop/pop/Dance/Electronic
                                  Kiiara                                  225882               rock/pop/Dance/Electronic
                                    ZAYN                                  853925                    pop/Dance/Electronic
                              Steve Aoki                                 2711222            hip hop/pop/Dance/Electronic
                                   Flume                                  671675                        Dance/Electronic
                           PARTYNEXTDOOR                                  619380                         hip hop/pop/R&B
                            Garrett Nash                                  251033                             hip hop/pop
                           Hilltop Hoods                                  239280                             hip hop/pop
                                    Daya                                  412794               rock/pop/Dance/Electronic
                              Kent Jones                                  198236                                 hip hop
                                      Mo                                  692960                    pop/Dance/Electronic
                           The Lumineers                                  638897                       pop/Folk/Acoustic
                              Luis Fonsi                                 1130977                               pop/latin
                          Camila Cabello                                  668984                                     pop
                           Billie Eilish                                 1636700                    pop/Dance/Electronic
                                Lil Peep                                 1147440                                 hip hop
                               A$AP Ferg                                  173600                             hip hop/pop
                          French Montana                                  233901                             hip hop/pop
                               21 Savage                                  220306                                 hip hop
                      Axwell /\ Ingrosso                                  203000                    pop/Dance/Electronic
                                J Balvin                                  428029                                   latin
                               Jax Jones                                  213946            hip hop/pop/Dance/Electronic
                               Ayo & Teo                                  945186                             hip hop/pop
                            Lil Uzi Vert                                  182706                                 hip hop
                           Playboi Carti                                 1022030                                 hip hop
                        Chord Overstreet                                  198853                       pop/Folk/Acoustic
                           Natti Natasha                                  644524                               pop/latin
                                Big Shaq                                  760613                    pop/Dance/Electronic
                          Rag'n'Bone Man                                  400290                                     R&B
                               blackbear                                  212027            hip hop/pop/Dance/Electronic
                                Lil Pump                                  124055                                 hip hop
                             Kodak Black                                  687719                                 hip hop
                  A Boogie Wit da Hoodie                                  395215                                 hip hop
                            XXXTENTACION                                  119133                                 hip hop
                                   Migos                                  343150                             hip hop/pop
                                Yo Gotti                                  276333                             hip hop/pop
                           Martin Jensen                                  577430                    pop/Dance/Electronic
                               The Vamps                                 1329723                                     pop
                                 Cardi B                                  435962                             hip hop/pop
                             Post Malone                                  890812                                 hip hop
                          Zay Hilfigerrr                                  778515                                     pop
                        Maggie Lindemann                                  860689                                rock/pop
                              Macklemore                                  220454                             hip hop/pop
                            Hayden James                                  217296                    pop/Dance/Electronic
                              Liam Payne                                  204502                                     pop
                                 Starley                                 1396072                    pop/Dance/Electronic
                                     AJR                                  201160                                    rock
                                    CNCO                                  452797                               pop/latin
                                  Offset                                 2752636                             hip hop/pop
                                  Dynoro                                  453426                    pop/Dance/Electronic
                              Juice WRLD                                  239835                                 hip hop
                               Sheck Wes                                 1165658                                 hip hop
                                 6ix9ine                                 2668634                                 hip hop
                              Nio Garcia                                  646293                                   latin
                       Machine Gun Kelly                                 1033899                             hip hop/pop
                                Jay Rock                                  788142                             hip hop/pop
                            Rich The Kid                                  175229                             hip hop/pop
                                   Logic                                  436932                             hip hop/pop
                                      EO                                  888192                                     pop
                            Dennis Lloyd                                  156600                                     pop
                             girl in red                                  184153               pop/rock/Dance/Electronic
                              Tom Walker                                  599615                                rock/pop
                             Sofia Reyes                                  201526                               pop/latin
                             Loud Luxury                                  547455                    pop/Dance/Electronic
                                      NF                                  457573                             hip hop/pop
                                  Maluma                                  306606                                   latin
                                Lil Baby                                  365985                                 hip hop
                                   Ozuna                                  565220                                   latin
                              BlocBoy JB                                  613382                             hip hop/pop
                              Dean Lewis                                  631675                                     pop
                                      YG                                  608021                             hip hop/pop
                                 B Young                                  391078                hip hop/Dance/Electronic
                                    Reik                                  407733                               pop/latin
                            benny blanco                                  173799                             hip hop/pop
                                      MK                                  370209                    pop/Dance/Electronic
                             Banx & Ranx                                  405984                        Dance/Electronic
                                Ella Mai                                  213993                         hip hop/pop/R&B
                                 FINNEAS                                 1055102               rock/pop/Dance/Electronic
                            Hugh Jackman                                  302146                          easy listening
                                  Halsey                                  181279                    pop/Dance/Electronic
                                     M.O                                  655692                    pop/Dance/Electronic
                            Cashmere Cat                                  404177                                pop/rock
                                   Bazzi                                  131064                    pop/Dance/Electronic
                               Lil Dicky                                  216631                             hip hop/pop
                                    Lauv                                  197436                    pop/Dance/Electronic
                                  Khalid                                  635198                                 pop/R&B
                               Lil Nas X                                  802652                             hip hop/pop
                           Gesaffelstein                                  923165                        Dance/Electronic
                                  Regard                                  359265                    pop/Dance/Electronic
                           Lewis Capaldi                                  615359                                     pop
                                 Mustard                                  361773                             hip hop/pop
                              NLE Choppa                                  176631                                 hip hop
                           Alec Benjamin                                  591338               rock/pop/Dance/Electronic
                               BLACKPINK                                  189052                                     pop
                                  MEDUZA                                  358716                    pop/Dance/Electronic
                                   Mabel                                  644379                    pop/Dance/Electronic
                                Saweetie                                  720587                         hip hop/pop/R&B
                               Lil Tecca                                  131240                                 hip hop
                           Russ Millions                                  252906                                     pop
                                Doja Cat                                 1024066                                     pop
                               iann dior                                  320699                             hip hop/pop
                            Paulo Londra                                  256971          hip hop/latin/Dance/Electronic
                               Bad Bunny                                  530686                                   latin
                                  Polo G                                  166560                                 hip hop
                              Young Thug                                  728780                             hip hop/pop
                                Anuel AA                                  301714                                   latin
                            Flipp Dinero                                  402675                             hip hop/pop
                                    Dave                                  615260                                 hip hop
                                 Ava Max                                  187436                                     pop
                        Young T & Bugsey                                  397493                                 hip hop
                                 Stormzy                                  816072                hip hop/Dance/Electronic
                             Tones And I                                  209438                                     pop
                              Pedro Capo                                  857865                               pop/latin
                                   Lunay                                  479679                               pop/latin
                                Blueface                                  358676                                 hip hop
                                  DaBaby                                  163320                                 hip hop
                               AJ Tracey                                  190537                hip hop/Dance/Electronic
                                     BTS                                  422916                                     pop
                     Tyler - The Creator                                  864945                                 hip hop
                                Ashley O                                  154447                                     pop
                            Dominic Fike                                  177666                                rock/pop
                     Megan Thee Stallion                                  405080                         hip hop/pop/R&B
                               Sam Feldt                                  433244                    pop/Dance/Electronic
                                 Kehlani                                  201787                         hip hop/pop/R&B
                                    Sech                                  225933                                   latin
                                     NSG                                 1551656               World/Traditional/hip hop
                                 Normani                                  193837                                 pop/R&B
                              Joel Corry                                  188640                    pop/Dance/Electronic
                            Blanco Brown                                  735005                         hip hop/country
